encoder,source,class_index,class_name,distinctiveness,top1_competitor,top1_similarity,top2_competitor,top2_similarity,top1_top2_gap
all-mpnet-base-v2,PGFA,5,Drop,0.5019349,Falling,0.65597486,Throw,0.56787044,0.08810443
all-mpnet-base-v2,PGFA,6,Pickup,0.5311726,Touching other person's pocket,0.48811215,Hand waving,0.48439795,0.0037142038
all-mpnet-base-v2,PGFA,7,Throw,0.5387936,Drop,0.56787044,Pickup,0.46382862,0.104041815
all-mpnet-base-v2,PGFA,8,Sitting down,0.53425187,Standing up (from sitting position),0.6199009,Falling,0.45630845,0.16359243
all-mpnet-base-v2,PGFA,9,Standing up (from sitting position),0.49292403,Sitting down,0.6199009,Jumping up,0.6072656,0.012635291
all-mpnet-base-v2,PGFA,10,Clapping,0.388672,Handshaking,0.678878,Putting the palms together,0.6223774,0.056500614
all-mpnet-base-v2,PGFA,11,Reading,0.64220697,Writing,0.5267172,Drink water,0.33086142,0.19585577
all-mpnet-base-v2,PGFA,12,Writing,0.5654894,Typing on a keyboard,0.5722766,Reading,0.5267172,0.045559406
all-mpnet-base-v2,PGFA,13,Tear up paper,0.6304522,Take off glasses,0.3826097,Writing,0.37268382,0.009925872
all-mpnet-base-v2,PGFA,14,Wear jacket,0.4980774,Take off jacket,0.6467941,Wear a shoe,0.56581676,0.08097732
all-mpnet-base-v2,PGFA,15,Take off jacket,0.4219541,Take off a shoe,0.66432804,Wear jacket,0.6467941,0.017533958
all-mpnet-base-v2,PGFA,16,Wear a shoe,0.47279692,Take off a shoe,0.65792346,Wear jacket,0.56581676,0.0921067
all-mpnet-base-v2,PGFA,17,Take off a shoe,0.39647776,Take off glasses,0.66982913,Take off jacket,0.66432804,0.0055010915
all-mpnet-base-v2,PGFA,18,Wear on glasses,0.5331269,Take off glasses,0.61743337,Wear a shoe,0.48745838,0.12997499
all-mpnet-base-v2,PGFA,19,Take off glasses,0.4466195,Take off a shoe,0.66982913,Wear on glasses,0.61743337,0.05239576
all-mpnet-base-v2,PGFA,20,Put on a hat/cap,0.47046,Take off a hat/cap,0.72511697,Wear jacket,0.5159585,0.20915848
all-mpnet-base-v2,PGFA,21,Take off a hat/cap,0.42408824,Put on a hat/cap,0.72511697,Take off jacket,0.6255282,0.09958875
all-mpnet-base-v2,PGFA,22,Cheer up,0.68293446,Hugging other person,0.35021448,Jumping up,0.3236814,0.026533067
all-mpnet-base-v2,PGFA,23,Hand waving,0.3471797,Handshaking,0.73824704,Crossing hands in front (saying stop),0.6487379,0.08950913
all-mpnet-base-v2,PGFA,24,Kicking something,0.4309672,Kicking other person,0.8730548,Hopping (one foot jumping),0.535818,0.33723682
all-mpnet-base-v2,PGFA,25,Reach into pocket,0.5578898,Touching other person's pocket,0.67374253,Pointing to something with finger,0.44833714,0.2254054
all-mpnet-base-v2,PGFA,26,Hopping (one foot jumping),0.47183192,Jumping up,0.6778367,Kicking something,0.535818,0.14201874
all-mpnet-base-v2,PGFA,27,Jumping up,0.490965,Hopping (one foot jumping),0.6778367,Standing up (from sitting position),0.6072656,0.070571125
all-mpnet-base-v2,PGFA,28,Make a phone call/Answer phone,0.6341727,Pickup,0.4106272,Playing with phone/tablet,0.3963363,0.014290899
all-mpnet-base-v2,PGFA,29,Playing with phone/tablet,0.58715785,Typing on a keyboard,0.4887833,Touching other person's pocket,0.40742603,0.08135727
all-mpnet-base-v2,PGFA,30,Typing on a keyboard,0.56928384,Writing,0.5722766,Playing with phone/tablet,0.4887833,0.08349329
all-mpnet-base-v2,PGFA,31,Pointing to something with finger,0.4081303,Pointing finger at the other person,0.78939146,Hand waving,0.645464,0.14392745
all-mpnet-base-v2,PGFA,32,Taking a selfie,0.7005449,Typing on a keyboard,0.32947052,Hugging other person,0.3021267,0.02734381
all-mpnet-base-v2,PGFA,33,Checking time (from watch),0.6985262,Wear a shoe,0.3128179,Take off glasses,0.30475956,0.008058339
all-mpnet-base-v2,PGFA,34,Rubbing two hands together,0.45247614,Putting the palms together,0.6071749,Handshaking,0.55166805,0.055506825
all-mpnet-base-v2,PGFA,35,Nod headbow,0.4065286,Salute,0.67931527,Shake head,0.6476642,0.03165108
all-mpnet-base-v2,PGFA,36,Shake head,0.4607628,Nod headbow,0.6476642,Hand waving,0.56141376,0.086250424
all-mpnet-base-v2,PGFA,37,Wiping face,0.62762374,Punching/Slapping other person,0.39727312,Take off glasses,0.38042524,0.016847879
all-mpnet-base-v2,PGFA,38,Salute,0.4086631,Nod headbow,0.67931527,Handshaking,0.6449542,0.034361064
all-mpnet-base-v2,PGFA,39,Putting the palms together,0.42954385,Clapping,0.6223774,Rubbing two hands together,0.6071749,0.015202522
all-mpnet-base-v2,PGFA,40,Crossing hands in front (saying stop),0.45223898,Hand waving,0.6487379,Handshaking,0.5664539,0.08228403
all-mpnet-base-v2,PGFA,41,Sneeze/cough,0.6832676,Wiping face,0.37303388,Nausea or vomiting,0.3432332,0.029800683
all-mpnet-base-v2,PGFA,42,Staggering,0.58185256,Falling,0.5498877,Shake head,0.43519807,0.11468965
all-mpnet-base-v2,PGFA,43,Falling,0.4838372,Drop,0.65597486,Staggering,0.5498877,0.10608715
all-mpnet-base-v2,PGFA,44,Touching head (headache),0.42284542,Touching neck (neckache),0.7472488,Touching back (backache),0.6004818,0.14676702
all-mpnet-base-v2,PGFA,45,Touching chest (stomachache/heart pain),0.45088434,Touching back (backache),0.613153,Touching neck (neckache),0.5978693,0.015283704
all-mpnet-base-v2,PGFA,46,Touching back (backache),0.39217502,Patting on back of other person,0.6676172,Touching neck (neckache),0.6585821,0.0090351105
all-mpnet-base-v2,PGFA,47,Touching neck (neckache),0.3938288,Touching head (headache),0.7472488,Touching back (backache),0.6585821,0.08866674
all-mpnet-base-v2,PGFA,48,Nausea or vomiting,0.68040997,Sneeze/cough,0.3432332,Staggering,0.33924538,0.003987819
all-mpnet-base-v2,PGFA,49,Using a fan (with hand or paper),0.6190615,Rubbing two hands together,0.41737488,Hand waving,0.38812953,0.029245347
all-mpnet-base-v2,PGFA,50,Punching/Slapping other person,0.43305683,Kicking other person,0.63432837,Patting on back of other person,0.5796634,0.05466497
all-mpnet-base-v2,PGFA,51,Kicking other person,0.38794088,Kicking something,0.8730548,Punching/Slapping other person,0.63432837,0.23872644
all-mpnet-base-v2,PGFA,52,Pushing other person,0.49298084,Kicking other person,0.5775258,Punching/Slapping other person,0.55825615,0.019269645
all-mpnet-base-v2,PGFA,53,Patting on back of other person,0.38686526,Touching back (backache),0.6676172,Hugging other person,0.6190981,0.048519075
all-mpnet-base-v2,PGFA,54,Pointing finger at the other person,0.44080007,Pointing to something with finger,0.78939146,Hand waving,0.52163047,0.267761
all-mpnet-base-v2,PGFA,55,Hugging other person,0.43096077,Patting on back of other person,0.6190981,Handshaking,0.61077416,0.008323967
all-mpnet-base-v2,PGFA,56,Giving something to other person,0.61364776,Hugging other person,0.41930008,Touching other person's pocket,0.39402148,0.025278598
all-mpnet-base-v2,PGFA,57,Touching other person's pocket,0.45642245,Reach into pocket,0.67374253,Patting on back of other person,0.54800737,0.12573516
all-mpnet-base-v2,PGFA,58,Handshaking,0.34594566,Hand waving,0.73824704,Clapping,0.678878,0.059369028
all-mpnet-base-v2,PGFA,59,Walking towards each other,0.47449058,Walking apart from each other,0.7228347,Hugging other person,0.49398303,0.22885168
all-mpnet-base-v2,PGFA,60,Walking apart from each other,0.52860445,Walking towards each other,0.7228347,Take off a shoe,0.4341992,0.2886355
all-mpnet-base-v2,SMIE,1,Drink water,0.6447121,Eat meal/snack,0.44057408,Make a phone call/Answer phone,0.374781,0.06579307
all-mpnet-base-v2,SMIE,2,Eat meal/snack,0.6599879,Drink water,0.44057408,Make a phone call/Answer phone,0.324456,0.11611807
all-mpnet-base-v2,SMIE,3,Brushing teeth,0.5975834,Brushing hair,0.76241463,Wiping face,0.3494626,0.41295204
all-mpnet-base-v2,SMIE,4,Brushing hair,0.5807432,Brushing teeth,0.76241463,Put on a hat/cap,0.33804306,0.42437157
all-mpnet-base-v2,SMIE,5,Drop,0.5019349,Falling,0.65597486,Throw,0.56787044,0.08810443
all-mpnet-base-v2,SMIE,6,Pickup,0.5311726,Touching other person's pocket,0.48811215,Hand waving,0.48439795,0.0037142038
all-mpnet-base-v2,SMIE,7,Throw,0.5387936,Drop,0.56787044,Pickup,0.46382862,0.104041815
all-mpnet-base-v2,SMIE,8,Sitting down,0.53425187,Standing up (from sitting position),0.6199009,Falling,0.45630845,0.16359243
all-mpnet-base-v2,SMIE,9,Standing up (from sitting position),0.49292403,Sitting down,0.6199009,Jumping up,0.6072656,0.012635291
all-mpnet-base-v2,SMIE,10,Clapping,0.388672,Handshaking,0.678878,Putting the palms together,0.6223774,0.056500614
all-mpnet-base-v2,SMIE,11,Reading,0.64220697,Writing,0.5267172,Drink water,0.33086142,0.19585577
all-mpnet-base-v2,SMIE,12,Writing,0.5654894,Typing on a keyboard,0.5722766,Reading,0.5267172,0.045559406
all-mpnet-base-v2,SMIE,13,Tear up paper,0.6304522,Take off glasses,0.3826097,Writing,0.37268382,0.009925872
all-mpnet-base-v2,SMIE,14,Wear jacket,0.4980774,Take off jacket,0.6467941,Wear a shoe,0.56581676,0.08097732
all-mpnet-base-v2,SMIE,15,Take off jacket,0.4219541,Take off a shoe,0.66432804,Wear jacket,0.6467941,0.017533958
all-mpnet-base-v2,SMIE,16,Wear a shoe,0.47279692,Take off a shoe,0.65792346,Wear jacket,0.56581676,0.0921067
all-mpnet-base-v2,SMIE,17,Take off a shoe,0.39647776,Take off glasses,0.66982913,Take off jacket,0.66432804,0.0055010915
all-mpnet-base-v2,SMIE,18,Wear on glasses,0.5331269,Take off glasses,0.61743337,Wear a shoe,0.48745838,0.12997499
all-mpnet-base-v2,SMIE,19,Take off glasses,0.4466195,Take off a shoe,0.66982913,Wear on glasses,0.61743337,0.05239576
all-mpnet-base-v2,SMIE,20,Put on a hat/cap,0.47046,Take off a hat/cap,0.72511697,Wear jacket,0.5159585,0.20915848
all-mpnet-base-v2,SMIE,21,Take off a hat/cap,0.42408824,Put on a hat/cap,0.72511697,Take off jacket,0.6255282,0.09958875
all-mpnet-base-v2,SMIE,22,Cheer up,0.68293446,Hugging other person,0.35021448,Jumping up,0.3236814,0.026533067
all-mpnet-base-v2,SMIE,23,Hand waving,0.3471797,Handshaking,0.73824704,Crossing hands in front (saying stop),0.6487379,0.08950913
all-mpnet-base-v2,SMIE,24,Kicking something,0.4309672,Kicking other person,0.8730548,Hopping (one foot jumping),0.535818,0.33723682
all-mpnet-base-v2,SMIE,25,Reach into pocket,0.5578898,Touching other person's pocket,0.67374253,Pointing to something with finger,0.44833714,0.2254054
all-mpnet-base-v2,SMIE,26,Hopping (one foot jumping),0.47183192,Jumping up,0.6778367,Kicking something,0.535818,0.14201874
all-mpnet-base-v2,SMIE,27,Jumping up,0.490965,Hopping (one foot jumping),0.6778367,Standing up (from sitting position),0.6072656,0.070571125
all-mpnet-base-v2,SMIE,28,Make a phone call/Answer phone,0.6341727,Pickup,0.4106272,Playing with phone/tablet,0.3963363,0.014290899
all-mpnet-base-v2,SMIE,29,Playing with phone/tablet,0.58715785,Typing on a keyboard,0.4887833,Touching other person's pocket,0.40742603,0.08135727
all-mpnet-base-v2,SMIE,30,Typing on a keyboard,0.56928384,Writing,0.5722766,Playing with phone/tablet,0.4887833,0.08349329
all-mpnet-base-v2,SMIE,31,Pointing to something with finger,0.4081303,Pointing finger at the other person,0.78939146,Hand waving,0.645464,0.14392745
all-mpnet-base-v2,SMIE,32,Taking a selfie,0.7005449,Typing on a keyboard,0.32947052,Hugging other person,0.3021267,0.02734381
all-mpnet-base-v2,SMIE,33,Checking time (from watch),0.6985262,Wear a shoe,0.3128179,Take off glasses,0.30475956,0.008058339
all-mpnet-base-v2,SMIE,34,Rubbing two hands together,0.45247614,Putting the palms together,0.6071749,Handshaking,0.55166805,0.055506825
all-mpnet-base-v2,SMIE,35,Nod headbow,0.4065286,Salute,0.67931527,Shake head,0.6476642,0.03165108
all-mpnet-base-v2,SMIE,36,Shake head,0.4607628,Nod headbow,0.6476642,Hand waving,0.56141376,0.086250424
all-mpnet-base-v2,SMIE,37,Wiping face,0.62762374,Punching/Slapping other person,0.39727312,Take off glasses,0.38042524,0.016847879
all-mpnet-base-v2,SMIE,38,Salute,0.4086631,Nod headbow,0.67931527,Handshaking,0.6449542,0.034361064
all-mpnet-base-v2,SMIE,39,Putting the palms together,0.42954385,Clapping,0.6223774,Rubbing two hands together,0.6071749,0.015202522
all-mpnet-base-v2,SMIE,40,Crossing hands in front (saying stop),0.45223898,Hand waving,0.6487379,Handshaking,0.5664539,0.08228403
all-mpnet-base-v2,SMIE,41,Sneeze/cough,0.6832676,Wiping face,0.37303388,Nausea or vomiting,0.3432332,0.029800683
all-mpnet-base-v2,SMIE,42,Staggering,0.58185256,Falling,0.5498877,Shake head,0.43519807,0.11468965
all-mpnet-base-v2,SMIE,43,Falling,0.4838372,Drop,0.65597486,Staggering,0.5498877,0.10608715
all-mpnet-base-v2,SMIE,44,Touching head (headache),0.42284542,Touching neck (neckache),0.7472488,Touching back (backache),0.6004818,0.14676702
all-mpnet-base-v2,SMIE,45,Touching chest (stomachache/heart pain),0.45088434,Touching back (backache),0.613153,Touching neck (neckache),0.5978693,0.015283704
all-mpnet-base-v2,SMIE,46,Touching back (backache),0.39217502,Patting on back of other person,0.6676172,Touching neck (neckache),0.6585821,0.0090351105
